EN,S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
1,*,Dallas/Fort Worth   TX,*,Amarillo            TX,1,3,No,Yes,5291.99134115503,28637,21112,3036732,205711,Free,Free,312,7864,64.11
2,*,Atlanta             GA,*,Baltimore/Wash Intl MD,1.06,3,No,No,5419.16090653473,26993,29838,3532657,7145897,Free,Free,576,8820,174.47
3,*,Boston              MA,*,Baltimore/Wash Intl MD,1.06,3,No,No,9185.28323414993,30124,29838,5787293,7145897,Free,Free,364,6452,207.76
4,ORD,Chicago             IL,*,Baltimore/Wash Intl MD,1.06,3,No,Yes,2657.35198663894,29260,29838,7830332,7145897,Controlled,Free,612,25144,85.47
5,MDW,Chicago             IL,*,Baltimore/Wash Intl MD,1.06,3,No,Yes,2657.35198663894,29260,29838,7830332,7145897,Free,Free,612,25144,85.47
6,*,Cleveland           OH,*,Baltimore/Wash Intl MD,1.01,3,No,Yes,3408.10575092688,26046,29838,2230955,7145897,Free,Free,309,13386,56.76
7,*,Dallas/Fort Worth   TX,*,Baltimore/Wash Intl MD,1.28,3,No,No,6754.47943243695,28637,29838,3036732,7145897,Free,Free,1220,4625,228
8,*,Fort Lauderdale     FL,*,Baltimore/Wash Intl MD,1.15,3,Yes,Yes,5583.99694054697,26752,29838,1440377,7145897,Free,Free,921,5512,116.54
9,*,Houston             TX,*,Baltimore/Wash Intl MD,1.33,3,No,Yes,4662.43802802179,27211,29838,3770125,7145897,Free,Free,1249,7811,172.63
10,*,Kansas City         MO,*,Baltimore/Wash Intl MD,1.6,2,No,Yes,2616.99803317648,25450,29838,1694803,7145897,Free,Free,964,4657,114.76
11,*,Las Vegas           NV,*,Baltimore/Wash Intl MD,1.57,3,Yes,Yes,1772.59040028348,24575,29838,1197234,7145897,Free,Free,2104,4489,158.2
12,*,Los Angeles         CA,*,Baltimore/Wash Intl MD,1.5,1,No,Yes,3932.2913854374,24706,29838,9056076,7145897,Free,Free,2329,7349,228.99
13,*,Nashville           TN,*,Baltimore/Wash Intl MD,1.12,3,No,Yes,4471.62048018787,25995,29838,1115048,7145897,Free,Free,587,5654,79.17
14,*,New Orleans         LA,*,Baltimore/Wash Intl MD,1.29,3,No,Yes,4356.11848989686,22038,29838,1308499,7145897,Free,Free,992,3525,132.05
15,JFK,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.89592698908,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.23
16,LGA,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.89592698908,32991,29838,8621121,7145897,Controlled,Free,181,7171,117.23
17,EWR,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.89592698908,32991,29838,8621121,7145897,Free,Constrained,181,7171,117.23
18,*,Orlando             FL,*,Baltimore/Wash Intl MD,1.13,3,Yes,Yes,5706.75926936144,22360,29838,1421287,7145897,Free,Free,788,11013,106.11
19,*,Phoenix             AZ,*,Baltimore/Wash Intl MD,1.86,3,No,Yes,1230.48383960804,23025,29838,2753373,7145897,Free,Free,2001,4408,181.16
20,*,Salt Lake City      UT,*,Baltimore/Wash Intl MD,1.93,3,No,Yes,2000.66981296507,21121,29838,1228816,7145897,Free,Free,1866,2767,157.5
21,*,San Diego           CA,*,Baltimore/Wash Intl MD,1.87,3,No,Yes,1572.93163878052,23903,29838,2673620,7145897,Free,Free,2290,3170,200.2
22,*,San Francisco       CA,*,Baltimore/Wash Intl MD,1.52,3,No,No,2967.59159316172,38813,29838,1653017,7145897,Free,Free,2454,6417,246.85
23,*,St Louis            MO,*,Baltimore/Wash Intl MD,1.14,3,No,Yes,4191.24122834886,25824,29838,2549844,7145897,Free,Free,729,10264,99.7
24,*,Tampa               FL,*,Baltimore/Wash Intl MD,1.13,3,Yes,Yes,5201.33834923357,23654,29838,2195215,7145897,Free,Free,846,7082,106.77
25,ORD,Chicago             IL,*,Birmingham          AL,1.16,3,No,Yes,3627.46142397476,29260,23858,7830332,895414,Controlled,Free,576,4138,113.5
